Winner,First Pick,Second Pick,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,Ban 7,Ban 8,Pick 1,Pick 2,Pick 3,Pick 4,Ban 9,Ban 10,Pick 5,Pick 6,Pick 7,Pick 8,Ban 11,Ban 12,Pick 9,Pick 10
Team Secret,Team Secret,Nigma,batrider,lone-druid,beastmaster,lycan,io,kunkka,natures-prophet,morphling,void-spirit,keeper-of-the-light,ember-spirit,puck,grimstroke,necrophos,bane,chen,underlord,ursa,queen-of-pain,meepo,tiny,viper
Team Secret,Team Secret,Team Liquid,ember-spirit,void-spirit,phoenix,weaver,vengeful-spirit,batrider,oracle,puck,earthshaker,keeper-of-the-light,clockwerk,pangolier,bloodseeker,ursa,queen-of-pain,chen,bristleback,morphling,kunkka,lycan,natures-prophet,timbersaw
Team Secret,Team Liquid,Team Secret,weaver,phoenix,void-spirit,ember-spirit,chen,vengeful-spirit,enchantress,oracle,treant-protector,batrider,earth-spirit,queen-of-pain,visage,slark,puck,disruptor,kunkka,lone-druid,abaddon,troll-warlord,pangolier,broodmother
Sparking Arrow Gaming,Sparking Arrow Gaming,Vici Gaming,beastmaster,phoenix,mars,terrorblade,morphling,vengeful-spirit,luna,shadow-demon,queen-of-pain,rubick,dragon-knight,clockwerk,lycan,naga-siren,disruptor,tusk,spectre,anti-mage,tidehunter,slardar,witch-doctor,centaur-warrunner
Sparking Arrow Gaming,Sparking Arrow Gaming,Vici Gaming,ogre-magi,queen-of-pain,morphling,phoenix,beastmaster,terrorblade,mars,shadow-demon,clockwerk,vengeful-spirit,tusk,puck,medusa,phantom-lancer,luna,pangolier,dragon-knight,doom,naga-siren,viper,natures-prophet,kunkka
Sparking Arrow Gaming,Sparking Arrow Gaming,Vici Gaming,morphling,phoenix,beastmaster,queen-of-pain,mars,shadow-demon,luna,clockwerk,vengeful-spirit,rubick,pangolier,terrorblade,phantom-lancer,doom,grimstroke,ember-spirit,zeus,templar-assassin,natures-prophet,naga-siren,abaddon,slark
Sparking Arrow Gaming,Royal Never Give Up,Sparking Arrow Gaming,anti-mage,phoenix,terrorblade,monkey-king,pangolier,mars,queen-of-pain,ursa,vengeful-spirit,shadow-demon,luna,ember-spirit,viper,beastmaster,doom,rubick,batrider,abaddon,medusa,storm-spirit,arc-warden,phantom-lancer
Sparking Arrow Gaming,Sparking Arrow Gaming,Royal Never Give Up,ursa,shadow-demon,monkey-king,terrorblade,mars,anti-mage,beastmaster,phoenix,queen-of-pain,legion-commander,bane,clockwerk,lycan,morphling,mirana,tusk,luna,phantom-lancer,puck,witch-doctor,void-spirit,
FlyToMoon,FlyToMoon,Virtus.pro,natures-prophet,rubick,lycan,pangolier,ember-spirit,beastmaster,shadow-demon,queen-of-pain,phoenix,techies,axe,lifestealer,morphling,batrider,bane,clockwerk,juggernaut,death-prophet,lina,storm-spirit,magnus,templar-assassin
FlyToMoon,FlyToMoon,Virtus.pro,natures-prophet,queen-of-pain,lycan,phoenix,ember-spirit,beastmaster,shadow-demon,lifestealer,rubick,enchantress,techies,batrider,slark,pangolier,tusk,jakiro,weaver,phantom-lancer,lina,alchemist,kunkka,leshrac
Team Secret,ViKin.gg,Team Secret,void-spirit,lycan,weaver,beastmaster,pangolier,luna,batrider,treant-protector,enchantress,natures-prophet,earthshaker,clockwerk,morphling,necrophos,lone-druid,chen,doom,broodmother,bloodseeker,kunkka,vengeful-spirit,tiny
Team Secret,ViKin.gg,Team Secret,void-spirit,lycan,weaver,beastmaster,earthshaker,vengeful-spirit,natures-prophet,enchantress,treant-protector,batrider,earth-spirit,queen-of-pain,lone-druid,oracle,puck,grimstroke,kunkka,lifestealer,pangolier,morphling,ember-spirit,slark
Vici Gaming,Royal Never Give Up,Vici Gaming,shadow-demon,phoenix,enigma,dragon-knight,beastmaster,vengeful-spirit,ember-spirit,queen-of-pain,treant-protector,rubick,centaur-warrunner,monkey-king,storm-spirit,tidehunter,ogre-magi,disruptor,luna,mars,templar-assassin,kunkka,visage,viper
Vici Gaming,Royal Never Give Up,Vici Gaming,viper,phoenix,ember-spirit,vengeful-spirit,beastmaster,queen-of-pain,rubick,dragon-knight,mars,shadow-demon,mirana,abaddon,luna,puck,monkey-king,storm-spirit,night-stalker,ursa,earthshaker,templar-assassin,clinkz,morphling
Sparking Arrow Gaming,Sparking Arrow Gaming,PSG.LGD,ember-spirit,phoenix,vengeful-spirit,pangolier,beastmaster,anti-mage,earthshaker,queen-of-pain,clockwerk,dragon-knight,ancient-apparition,terrorblade,batrider,venomancer,centaur-warrunner,shadow-demon,rubick,viper,tusk,natures-prophet,mars,faceless-void
PSG.LGD,PSG.LGD,Sparking Arrow Gaming,pangolier,phoenix,clockwerk,ember-spirit,puck,vengeful-spirit,lich,queen-of-pain,earthshaker,rubick,mars,shadow-demon,naga-siren,slardar,anti-mage,monkey-king,chen,batrider,lina,storm-spirit,ursa,viper
Sparking Arrow Gaming,Sparking Arrow Gaming,PSG.LGD,earthshaker,phoenix,ember-spirit,clockwerk,beastmaster,pangolier,queen-of-pain,puck,shadow-demon,vengeful-spirit,batrider,terrorblade,medusa,abaddon,tusk,legion-commander,monkey-king,storm-spirit,venomancer,arc-warden,weaver,spectre
Team Liquid,Nigma,Team Liquid,oracle,io,lone-druid,beastmaster,batrider,natures-prophet,ember-spirit,meepo,phoenix,vengeful-spirit,mirana,lycan,kunkka,windranger,pangolier,grimstroke,bloodseeker,storm-spirit,venomancer,queen-of-pain,earthshaker,visage
Nigma,Nigma,Team Liquid,oracle,io,vengeful-spirit,beastmaster,lycan,natures-prophet,ember-spirit,meepo,phoenix,witch-doctor,mirana,batrider,bloodseeker,anti-mage,storm-spirit,windranger,weaver,bounty-hunter,terrorblade,abaddon,necrophos,slardar
Nigma,Nigma,Team Liquid,oracle,io,vengeful-spirit,meepo,lycan,natures-prophet,ember-spirit,beastmaster,phoenix,snapfire,earth-spirit,batrider,bloodseeker,bounty-hunter,pangolier,windranger,lone-druid,bristleback,necrophos,queen-of-pain,ursa,slark
Nigma,FlyToMoon,Nigma,io,queen-of-pain,ember-spirit,beastmaster,meepo,pangolier,oracle,batrider,phoenix,natures-prophet,lycan,rubick,visage,timbersaw,windranger,tidehunter,earth-spirit,phantom-lancer,kunkka,anti-mage,storm-spirit,necrophos
FlyToMoon,FlyToMoon,Nigma,io,queen-of-pain,ember-spirit,beastmaster,lycan,pangolier,natures-prophet,batrider,phoenix,enchantress,bounty-hunter,bane,visage,necrophos,earth-spirit,clockwerk,invoker,templar-assassin,lifestealer,phantom-lancer,ursa,venomancer
Nigma,Nigma,FlyToMoon,pangolier,io,bane,ember-spirit,batrider,lycan,queen-of-pain,beastmaster,phoenix,ogre-magi,rubick,natures-prophet,mirana,visage,clockwerk,chen,lifestealer,meepo,luna,elder-titan,timbersaw,huskar
Team Liquid,Team Secret,Team Liquid,phoenix,enchantress,grimstroke,void-spirit,ember-spirit,weaver,shadow-demon,necrophos,natures-prophet,oracle,death-prophet,beastmaster,kunkka,morphling,treant-protector,rubick,pangolier,ursa,queen-of-pain,broodmother,vengeful-spirit,lycan
Team Liquid,Team Liquid,Team Secret,enchantress,phoenix,void-spirit,ember-spirit,weaver,lycan,pangolier,oracle,vengeful-spirit,natures-prophet,earthshaker,batrider,abaddon,lone-druid,puck,sand-king,morphling,bloodseeker,visage,storm-spirit,ancient-apparition,kunkka
Royal Never Give Up,PSG.LGD,Royal Never Give Up,dragon-knight,vengeful-spirit,puck,queen-of-pain,mirana,phoenix,clockwerk,ember-spirit,mars,rubick,pangolier,grimstroke,spectre,lycan,ursa,shadow-shaman,jakiro,riki,storm-spirit,templar-assassin,zeus,invoker
Royal Never Give Up,Royal Never Give Up,PSG.LGD,shadow-demon,queen-of-pain,beastmaster,vengeful-spirit,ember-spirit,pangolier,natures-prophet,dragon-knight,phoenix,mars,mirana,bane,lycan,riki,ogre-magi,ursa,weaver,puck,legion-commander,templar-assassin,axe,viper
Sparking Arrow Gaming,Sparking Arrow Gaming,Vici Gaming,dragon-knight,chen,beastmaster,phoenix,vengeful-spirit,venomancer,grimstroke,queen-of-pain,clockwerk,disruptor,mars,anti-mage,lycan,viper,shadow-demon,treant-protector,luna,storm-spirit,earthshaker,puck,rubick,ember-spirit
Vici Gaming,Vici Gaming,Sparking Arrow Gaming,chen,beastmaster,venomancer,vengeful-spirit,anti-mage,dragon-knight,queen-of-pain,grimstroke,phoenix,pangolier,bane,mars,naga-siren,ember-spirit,rubick,ogre-magi,faceless-void,monkey-king,lina,viper,storm-spirit,puck
Vici Gaming,Sparking Arrow Gaming,Vici Gaming,beastmaster,chen,mars,phoenix,vengeful-spirit,anti-mage,dragon-knight,queen-of-pain,clockwerk,grimstroke,ember-spirit,venomancer,lycan,naga-siren,rubick,brewmaster,centaur-warrunner,lina,spectre,weaver,terrorblade,phantom-lancer
Virtus.pro,OG,Virtus.pro,shadow-demon,natures-prophet,ember-spirit,io,techies,earth-spirit,phoenix,dragon-knight,beastmaster,enchantress,queen-of-pain,lycan,tidehunter,invoker,earthshaker,enigma,batrider,nyx-assassin,pugna,spectre,rubick,naga-siren
OG,OG,Virtus.pro,techies,io,phoenix,natures-prophet,earthshaker,enchantress,queen-of-pain,chen,beastmaster,ember-spirit,shadow-demon,lycan,tidehunter,rubick,winter-wyvern,grimstroke,underlord,morphling,pugna,necrophos,windranger,phantom-lancer
Virtus.pro,OG,Virtus.pro,techies,lycan,queen-of-pain,io,phoenix,natures-prophet,earthshaker,beastmaster,enchantress,shadow-demon,ember-spirit,morphling,ancient-apparition,abaddon,doom,grimstroke,vengeful-spirit,ursa,batrider,viper,pangolier,templar-assassin
Vikin.gg,Alliance,ViKin.gg,lycan,dragon-knight,chen,phoenix,enchantress,beastmaster,treant-protector,batrider,earthshaker,vengeful-spirit,luna,queen-of-pain,natures-prophet,morphling,clockwerk,witch-doctor,necrophos,anti-mage,viper,templar-assassin,kunkka,ember-spirit
Vikin.gg,ViKin.gg,Alliance,dragon-knight,lycan,phoenix,enchantress,batrider,vengeful-spirit,earthshaker,chen,beastmaster,enigma,winter-wyvern,rubick,morphling,viper,ursa,grimstroke,axe,spectre,queen-of-pain,necrophos,ember-spirit,shadow-fiend
INVICTUS GAMING,INVICTUS GAMING,Vici Gaming,clockwerk,earthshaker,ember-spirit,vengeful-spirit,queen-of-pain,shadow-demon,tusk,ursa,phoenix,dragon-knight,mirana,bane,natures-prophet,lycan,beastmaster,abaddon,spectre,storm-spirit,terrorblade,grimstroke,clinkz,treant-protector
Vici Gaming,INVICTUS GAMING,Vici Gaming,clockwerk,vengeful-spirit,ember-spirit,phoenix,queen-of-pain,shadow-demon,tusk,ursa,earthshaker,disruptor,dragon-knight,enchantress,mirana,beastmaster,rubick,spectre,tidehunter,timbersaw,kunkka,monkey-king,storm-spirit,anti-mage
Vici Gaming,INVICTUS GAMING,Vici Gaming,dragon-knight,shadow-demon,clockwerk,phoenix,tusk,vengeful-spirit,keeper-of-the-light,beastmaster,nyx-assassin,rubick,mars,ursa,templar-assassin,tidehunter,lycan,winter-wyvern,grimstroke,centaur-warrunner,kunkka,viper,puck,ember-spirit
CDEC,CDEC,PSG.LGD,dragon-knight,phoenix,ember-spirit,ogre-magi,natures-prophet,queen-of-pain,beastmaster,vengeful-spirit,earthshaker,clockwerk,rubick,batrider,lifestealer,lycan,tidehunter,undying,phantom-lancer,leshrac,anti-mage,lina,slark,void-spirit
PSG.LGD,PSG.LGD,CDEC,viper,earthshaker,ogre-magi,queen-of-pain,treant-protector,ember-spirit,vengeful-spirit,beastmaster,phoenix,mars,silencer,clockwerk,lifestealer,spectre,weaver,dragon-knight,luna,shadow-demon,lycan,venomancer,riki,timbersaw
PSG.LGD,CDEC,PSG.LGD,dragon-knight,ogre-magi,ember-spirit,queen-of-pain,clockwerk,phoenix,beastmaster,treant-protector,earthshaker,vengeful-spirit,tiny,natures-prophet,medusa,ursa,spectre,necrophos,invoker,lifestealer,puck,enigma,void-spirit,batrider
Team Secret,OG,Team Secret,enchantress,natures-prophet,keeper-of-the-light,earth-spirit,kunkka,io,earthshaker,grimstroke,beastmaster,void-spirit,weaver,enigma,necrophos,bloodseeker,pangolier,shadow-shaman,lycan,tiny,naga-siren,storm-spirit,monkey-king,batrider
Virtus.pro,Virtus.pro,Ninjas in Pyjamas,lycan,enchantress,dragon-knight,techies,oracle,grimstroke,queen-of-pain,ember-spirit,natures-prophet,vengeful-spirit,pangolier,shadow-demon,phoenix,lifestealer,chen,winter-wyvern,spectre,timbersaw,slark,broodmother,viper,batrider
Ninjas in Pyjamas,Virtus.pro,Ninjas in Pyjamas,oracle,techies,lycan,shadow-demon,queen-of-pain,enchantress,dragon-knight,ember-spirit,natures-prophet,kunkka,vengeful-spirit,earthshaker,medusa,timbersaw,clockwerk,winter-wyvern,morphling,phantom-lancer,viper,broodmother,batrider,dark-seer
Ninjas in Pyjamas,Virtus.pro,Ninjas in Pyjamas,lycan,techies,oracle,shadow-demon,dragon-knight,enchantress,natures-prophet,ember-spirit,queen-of-pain,chen,beastmaster,winter-wyvern,spectre,timbersaw,earthshaker,phoenix,morphling,axe,phantom-lancer,viper,troll-warlord,pugna
Team Secret,Team Secret,B8,phoenix,beastmaster,monkey-king,natures-prophet,oracle,lone-druid,bane,lycan,enchantress,luna,witch-doctor,pangolier,templar-assassin,morphling,earthshaker,clockwerk,batrider,visage,lifestealer,bristleback,abaddon,storm-spirit
Team Secret,B8,Team Secret,natures-prophet,monkey-king,lycan,phoenix,lone-druid,oracle,luna,beastmaster,enchantress,mirana,ogre-magi,treant-protector,timbersaw,necrophos,ember-spirit,vengeful-spirit,batrider,drow-ranger,viper,morphling,queen-of-pain,broodmother
INVICTUS GAMING,INVICTUS GAMING,Royal Never Give Up,clockwerk,earthshaker,natures-prophet,ember-spirit,chen,dragon-knight,shadow-demon,vengeful-spirit,phoenix,mars,mirana,treant-protector,ursa,beastmaster,bane,spectre,tidehunter,void-spirit,legion-commander,templar-assassin,death-prophet,anti-mage
Royal Never Give Up,INVICTUS GAMING,Royal Never Give Up,natures-prophet,ember-spirit,chen,vengeful-spirit,clockwerk,earthshaker,shadow-demon,dragon-knight,phoenix,mars,mirana,beastmaster,enchantress,spectre,ursa,disruptor,jakiro,lycan,storm-spirit,tidehunter,queen-of-pain,puck
Vici Gaming,EHOME.Immortal,Vici Gaming,vengeful-spirit,lich,shadow-demon,earthshaker,beastmaster,phoenix,queen-of-pain,ancient-apparition,natures-prophet,treant-protector,dragon-knight,tusk,ursa,grimstroke,mirana,keeper-of-the-light,pangolier,ember-spirit,templar-assassin,morphling,spectre,monkey-king
Vici Gaming,Vici Gaming,EHOME.Immortal,clockwerk,earthshaker,winter-wyvern,lycan,centaur-warrunner,shadow-demon,vengeful-spirit,natures-prophet,grimstroke,phoenix,pangolier,clinkz,naga-siren,beastmaster,bane,ember-spirit,morphling,ursa,batrider,viper,queen-of-pain,invoker
Nigma,Team Secret,Nigma,io,luna,witch-doctor,lycan,beastmaster,lone-druid,kunkka,natures-prophet,enchantress,ember-spirit,keeper-of-the-light,necrophos,batrider,monkey-king,bane,clockwerk,queen-of-pain,morphling,legion-commander,templar-assassin,abaddon,meepo
Nigma,Team Secret,Nigma,io,lycan,ember-spirit,lone-druid,meepo,luna,queen-of-pain,natures-prophet,enchantress,beastmaster,mirana,kunkka,viper,rubick,batrider,void-spirit,warlock,phantom-lancer,pangolier,spectre,vengeful-spirit,anti-mage
Virtus.pro,Team Empire,Virtus.pro,lycan,natures-prophet,shadow-demon,queen-of-pain,ember-spirit,death-prophet,chen,dragon-knight,enchantress,techies,axe,beastmaster,morphling,lifestealer,winter-wyvern,rubick,phantom-lancer,spectre,storm-spirit,lina,viper,pugna
Virtus.pro,Virtus.pro,Team Empire,oracle,lycan,chen,shadow-demon,phoenix,natures-prophet,earthshaker,queen-of-pain,enchantress,beastmaster,mirana,ember-spirit,bane,keeper-of-the-light,grimstroke,dark-willow,dragon-knight,batrider,death-prophet,lina,necrophos,lifestealer
Team Secret,Team Secret,ViKin.gg,grimstroke,natures-prophet,chen,luna,treant-protector,beastmaster,vengeful-spirit,enchantress,void-spirit,lycan,bane,keeper-of-the-light,abaddon,bristleback,mirana,tidehunter,earthshaker,lone-druid,kunkka,ursa,monkey-king,queen-of-pain
Team Secret,ViKin.gg,Team Secret,luna,enchantress,keeper-of-the-light,natures-prophet,batrider,lycan,kunkka,grimstroke,chen,weaver,earthshaker,beastmaster,morphling,razor,troll-warlord,rubick,timbersaw,invoker,ursa,broodmother,bloodseeker,storm-spirit
PSG.LGD,PSG.LGD,Team Aster,io,earthshaker,mars,shadow-demon,vengeful-spirit,ember-spirit,puck,natures-prophet,queen-of-pain,phoenix,void-spirit,nyx-assassin,shadow-shaman,ursa,enigma,silencer,viper,lycan,broodmother,naga-siren,beastmaster,gyrocopter
PSG.LGD,PSG.LGD,Team Aster,io,earthshaker,mars,ember-spirit,puck,queen-of-pain,vengeful-spirit,beastmaster,phoenix,enigma,void-spirit,rubick,naga-siren,ursa,brewmaster,troll-warlord,morphling,batrider,templar-assassin,oracle,lina,legion-commander
CDEC,CDEC,Sparking Arrow Gaming,phoenix,queen-of-pain,shadow-demon,beastmaster,dragon-knight,vengeful-spirit,ember-spirit,visage,mars,earthshaker,batrider,oracle,naga-siren,troll-warlord,natures-prophet,weaver,puck,spectre,templar-assassin,anti-mage,void-spirit,morphling
Sparking Arrow Gaming,Sparking Arrow Gaming,CDEC,spectre,chen,mars,earthshaker,beastmaster,treant-protector,vengeful-spirit,ember-spirit,queen-of-pain,skywrath-mage,legion-commander,phoenix,visage,lycan,ogre-magi,bane,phantom-lancer,anti-mage,timbersaw,puck,pangolier,viper
Sparking Arrow Gaming,Sparking Arrow Gaming,CDEC,spectre,chen,beastmaster,treant-protector,mars,queen-of-pain,vengeful-spirit,earthshaker,phoenix,silencer,ember-spirit,pangolier,grimstroke,anti-mage,shadow-shaman,clockwerk,slark,viper,naga-siren,centaur-warrunner,faceless-void,windranger
